Mouseclicks;Time per Task
3, 3, 2, 3, 3, 3;'6.7', '5.4', '2.4', '3.9', '3.6', '3.8'
3, 3, 3, 3, 3, 3;'5.4', '3.1', '3.4', '3.5', '3.3', '3.6'
4, 5, 3, 3, 3, 3;'6.5', '6.6', '4.0', '4.4', '4.0', '5.1'
2, 2, 2, 4, 2, 3;'3.0', '3.3', '3.7', '7.1', '2.8', '4.3'
2, 3, 2, 2, 3, 2;'6.6', '3.6', '10.3', '4.6', '5.4', '3.7'
2, 2, 3, 5, 2, 2;'2.7', '3.2', '9.4', '18.0', '4.7', '3.8'
5, 3, 5, 4, 3, 4;'7.0', '3.7', '8.1', '4.9', '5.2', '5.2'
18, 2, 4, 5, 2, 5;'34.1', '2.8', '8.9', '8.9', '3.1', '8.3'
2, 2, 2, 3, 2, 3;'4.0', '2.9', '3.6', '5.7', '5.0', '5.5'
2, 2, 2, 2, 2, 2;'4.8', '1.4', '3.5', '3.5', '3.3', '1.9'
13, 2, 5, 4, 3, 3;'42.9', '1.9', '12.3', '5.8', '7.6', '3.4'
4, 3, 4, 2, 3, 2;'7.0', '5.2', '5.0', '3.8', '5.1', '4.2'
7, 2, 5, 4, 3, 3;'19.3', '1.6', '11.9', '7.0', '3.9', '4.0'
2, 2, 3, 4, 3, 2;'6.6', '6.6', '4.6', '7.5', '3.8', '5.2'
3, 3, 3, 3, 5, 3;'6.0', '3.2', '5.1', '4.4', '5.9', '4.0'
3, 2, 3, 2, 3, 2;'4.6', '1.6', '3.4', '4.1', '4.4', '3.8'
2, 2, 2, 2, 2, 3;'7.1', '4.5', '7.0', '7.6', '5.5', '7.5'
