Mouseclicks;Time per Task
2, 1, 1, 1, 1, 1;'5.7', '3.8', '4.3', '2.4', '4.3', '3.2'
2, 2, 2, 2, 2, 2;'6.0', '2.9', '4.3', '4.6', '4.4', '3.3'
2, 2, 2, 3, 2, 3;'5.4', '3.2', '6.1', '6.5', '5.7', '4.4'
2, 2, 2, 2, 2, 2;'4.3', '15.7', '6.2', '4.9', '3.1', '3.0'
2, 2, 2, 2, 2, 4;'9.7', '3.7', '3.0', '3.9', '2.7', '8.6'
3, 2, 3, 2, 4, 2;'21.8', '2.6', '11.4', '3.0', '17.1', '5.7'
2, 2, 2, 2, 2, 2;'6.6', '5.6', '5.0', '4.1', '4.5', '2.0'
4, 3, 6, 3, 4, 2;'7.0', '2.6', '10.0', '3.7', '9.5', '3.0'
9, 2, 'TC', 2, 2, 2;'29.9', '2.4', 'TC', '2.8', '5.8', '5.5'
2, 2, 2, 2, 2, 2;'4.8', '2.5', '4.3', '2.3', '1.8', '3.9'
2, 2, 3, 3, 2, 2;'2.4', '2.7', '7.1', '6.2', '3.8', '5.1'
2, 2, 2, 2, 2, 2;'3.7', '3.9', '7.4', '2.0', '3.1', '7.2'
2, 4, 2, 3, 2, 2;'5.5', '5.5', '8.3', '11.4', '3.2', '7.6'
2, 2, 'TC', 2, 2, 2;'5.1', '3.6', 'TC', '5.0', '9.1', '3.7'
6, 2, 2, 2, 2, 2;'28.3', '4.0', '3.9', '2.0', '2.4', '4.3'
2, 2, 2, 2, 2, 2;'5.0', '5.6', '6.0', '14.2', '2.0', '6.6'
2, 2, 2, 4, 2, 3;'6.7', '5.6', '7.2', '12.3', '5.1', '6.6'
